Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,Authority,Hub,pageranks
keberlanjutan,,3,3,5,0.326379,0.343721,15.946901,2,0,0.007909,0.007909,0.000924
layanan bimbingan klasikal,,4,4,4,0.340591,0.357877,13.10783,5,0,0.010192,0.010192,0.001115
media sosial,,10,10,4,0.381533,0.408486,689.231812,2,0,0.020952,0.020952,0.002527
penilaian diagnostik,,2,2,5,0.30608,0.320396,1.986502,1,0,0.004578,0.004578,0.000697
fear of missing out,,5,5,5,0.307368,0.325761,231.002152,2,0,0.003787,0.003786,0.001559
kartini,,4,4,5,0.285714,0.300076,4.983736,6,0,0.001475,0.001475,0.001275
kebahagiaan,,3,3,5,0.273921,0.286986,27.722357,5,0,0.00069,0.00069,0.001196
kesantunan berbahasa,,4,4,5,0.330068,0.350342,75.707001,2,0,0.005434,0.005434,0.001173
strategi coping,,2,2,5,0.316245,0.332534,6.854407,6,0,0.004292,0.004292,0.000738
tindak tutur direktif,,4,4,5,0.338224,0.357192,43.937046,2,0,0.010244,0.010244,0.001125
interpersonal,,3,3,5,0.34326,0.361948,19.41277,3,0,0.01443,0.01443,0.000873
generasi z,,4,4,5,0.342455,0.364231,417.719282,2,0,0.010945,0.010945,0.001356
sosial,,3,3,5,0.2846,0.299581,61.548852,2,0,0.000982,0.000982,0.00117
kesiapan mengajar,,4,4,4,0.346245,0.365487,7.017862,5,0,0.011546,0.011546,0.001189
kematangan karier,,3,3,6,0.254651,0.269216,42.670134,2,0,0.000343,0.000343,0.001262
tts,,6,6,5,0.381533,0.408447,83.079533,1,0,0.037424,0.037424,0.001327
program adiwiyata,,2,2,5,0.274264,0.285502,2.75625,5,0,0.001422,0.001422,0.000802
listrik,,6,6,5,0.331567,0.357686,207.767149,0,0,0.021011,0.021011,0.001465
hidrolisis garam,,7,7,5,0.337442,0.364041,105.049097,1,0,0.019812,0.019812,0.001709
multimedia,,3,3,5,0.297352,0.310464,3.932932,0,0,0.003136,0.003136,0.000969
savi,,4,4,5,0.310198,0.331963,0.38254,1,0,0.009362,0.009362,0.001071
orang muda,,2,2,6,0.255096,0.265107,9.374684,2,0,0.000457,0.000457,0.000896
toleransi,,3,3,5,0.305866,0.32519,213.64341,1,0,0.007032,0.007032,0.001032
perilaku konsumtif,,5,5,5,0.279159,0.29589,33.775698,2,0,0.001894,0.001894,0.001535
investasi,,3,3,5,0.333841,0.351826,177.238644,5,0,0.008118,0.008118,0.001128
pemilu,,5,5,5,0.329571,0.347298,8.739072,2,0,0.009811,0.00981,0.001343
presentasi,,3,3,5,0.333333,0.351065,19.58198,5,0,0.008814,0.008814,0.000914
sikap,,3,3,5,0.298569,0.313889,29.91385,5,0,0.003652,0.003652,0.00098
pembelajaran bahasa inggris,,2,2,5,0.323486,0.338356,10.674501,2,0,0.007259,0.007259,0.000712
penghargaan,,4,4,5,0.354082,0.374962,15.140575,3,0,0.021035,0.021035,0.00102
layanan konseling individual,,3,3,4,0.341121,0.359399,39.36712,5,0,0.009226,0.009226,0.000951
twitter,,4,4,5,0.373402,0.396842,35.916085,2,0,0.022451,0.022451,0.001073
regulasi emosi,,6,6,5,0.316703,0.337177,40.078165,5,0,0.007048,0.007047,0.001613
prososial,,2,2,5,0.323964,0.339726,22.882991,5,0,0.006397,0.006397,0.000738
